"Vehicle","Country","Year","Stage","ktons"
"Consumer Electronics","United States",2040,"Refining (ktons of black mass)",165.260672466249
"Consumer Electronics","United States",2041,"Pre-processing (ktons of battery)",535.50518781991
"Consumer Electronics","United States",2041,"Refining (ktons of black mass)",171.361660102371
"Consumer Electronics","United States",2042,"Pre-processing (ktons of battery)",554.948844810367
"Consumer Electronics","United States",2042,"Refining (ktons of black mass)",177.583630339318
"Consumer Electronics","United States",2043,"Pre-processing (ktons of battery)",573.753901950759
"Consumer Electronics","United States",2043,"Refining (ktons of black mass)",183.601248624243
"Consumer Electronics","United States",2044,"Pre-processing (ktons of battery)",588.082169271796
"Consumer Electronics","United States",2044,"Refining (ktons of black mass)",188.186294166975
"Consumer Electronics","United States",2045,"Pre-processing (ktons of battery)",594.531071929043
"Consumer Electronics","United States",2045,"Refining (ktons of black mass)",190.249943017294
"Consumer Electronics","United States",2046,"Pre-processing (ktons of battery)",595.544729898373
"Consumer Electronics","United States",2046,"Refining (ktons of black mass)",190.574313567479
"Consumer Electronics","United States",2047,"Pre-processing (ktons of battery)",595.569605859867
"Consumer Electronics","United States",2047,"Refining (ktons of black mass)",190.582273875157
"Consumer Electronics","United States",2048,"Pre-processing (ktons of battery)",595.569642044917
"Consumer Electronics","United States",2048,"Refining (ktons of black mass)",190.582285454373
"Consumer Electronics","United States",2049,"Pre-processing (ktons of battery)",595.569642045937
"Consumer Electronics","United States",2049,"Refining (ktons of black mass)",190.5822854547
"Consumer Electronics","United States",2050,"Pre-processing (ktons of battery)",595.569642045937
"Consumer Electronics","United States",2050,"Refining (ktons of black mass)",190.5822854547
"Heavy trucks","Canada",2025,"Pre-processing (ktons of battery)",0.0464252306723009
"Heavy trucks","Canada",2025,"Refining (ktons of black mass)",0.0139275692016903
"Heavy trucks","Canada",2026,"Pre-processing (ktons of battery)",0.0872053204301313
"Heavy trucks","Canada",2026,"Refining (ktons of black mass)",0.0261615961290394
"Heavy trucks","Canada",2027,"Pre-processing (ktons of battery)",0.171647634498244
"Heavy trucks","Canada",2027,"Refining (ktons of black mass)",0.051494290349473
"Heavy trucks","Canada",2028,"Pre-processing (ktons of battery)",0.345375585348488
"Heavy trucks","Canada",2028,"Refining (ktons of black mass)",0.103612675604546
"Heavy trucks","Canada",2029,"Pre-processing (ktons of battery)",0.70026473595147
"Heavy trucks","Canada",2029,"Refining (ktons of black mass)",0.210079420785441
"Heavy trucks","Canada",2030,"Pre-processing (ktons of battery)",1.44968849901534
"Heavy trucks","Canada",2030,"Refining (ktons of black mass)",0.434906549704602
"Heavy trucks","Canada",2031,"Pre-processing (ktons of battery)",2.56407435884282
"Heavy trucks","Canada",2031,"Refining (ktons of black mass)",0.769222307652846
"Heavy trucks","Canada",2032,"Pre-processing (ktons of battery)",4.18503252645934
"Heavy trucks","Canada",2032,"Refining (ktons of black mass)",1.2555097579378
"Heavy trucks","Canada",2033,"Pre-processing (ktons of battery)",6.43445430963854
"Heavy trucks","Canada",2033,"Refining (ktons of black mass)",1.93033629289156
"Heavy trucks","Canada",2034,"Pre-processing (ktons of battery)",9.43495012658612
"Heavy trucks","Canada",2034,"Refining (ktons of black mass)",2.83048503797584
"Heavy trucks","Canada",2035,"Pre-processing (ktons of battery)",13.2314140654603
"Heavy trucks","Canada",2035,"Refining (ktons of black mass)",3.96942421963809
"Heavy trucks","Canada",2036,"Pre-processing (ktons of battery)",17.8771963339074
"Heavy trucks","Canada",2036,"Refining (ktons of black mass)",5.36315890017223
"Heavy trucks","Canada",2037,"Pre-processing (ktons of battery)",23.3318859389066
"Heavy trucks","Canada",2037,"Refining (ktons of black mass)",6.99956578167197
"Heavy trucks","Canada",2038,"Pre-processing (ktons of battery)",29.5082382966001
"Heavy trucks","Canada",2038,"Refining (ktons of black mass)",8.85247148898004
"Heavy trucks","Canada",2039,"Pre-processing (ktons of battery)",36.3443322659613
"Heavy trucks","Canada",2039,"Refining (ktons of black mass)",10.9032996797884
"Heavy trucks","Canada",2040,"Pre-processing (ktons of battery)",43.8930822765948
"Heavy trucks","Canada",2040,"Refining (ktons of black mass)",13.1679246829784
"Heavy trucks","Canada",2041,"Pre-processing (ktons of battery)",52.1612433620672
"Heavy trucks","Canada",2041,"Refining (ktons of black mass)",15.6483730086202
"Heavy trucks","Canada",2042,"Pre-processing (ktons of battery)",61.1915974016334
"Heavy trucks","Canada",2042,"Refining (ktons of black mass)",18.35747922049
"Heavy trucks","Canada",2043,"Pre-processing (ktons of battery)",70.9312299656886
"Heavy trucks","Canada",2043,"Refining (ktons of black mass)",21.2793689897066
"Heavy trucks","Canada",2044,"Pre-processing (ktons of battery)",81.2506695775405
"Heavy trucks","Canada",2044,"Refining (ktons of black mass)",24.3752008732621
"Heavy trucks","Canada",2045,"Pre-processing (ktons of battery)",91.8189195924274
"Heavy trucks","Canada",2045,"Refining (ktons of black mass)",27.5456758777282
"Heavy trucks","Canada",2046,"Pre-processing (ktons of battery)",102.286969942744
"Heavy trucks","Canada",2046,"Refining (ktons of black mass)",30.6860909828231
"Heavy trucks","Canada",2047,"Pre-processing (ktons of battery)",112.310313916594
"Heavy trucks","Canada",2047,"Refining (ktons of black mass)",33.6930941749783
"Heavy trucks","Canada",2048,"Pre-processing (ktons of battery)",121.684048829128
"Heavy trucks","Canada",2048,"Refining (ktons of black mass)",36.5052146487383
"Heavy trucks","Canada",2049,"Pre-processing (ktons of battery)",130.331617633255
"Heavy trucks","Canada",2049,"Refining (ktons of black mass)",39.0994852899766
"Heavy trucks","Canada",2050,"Pre-processing (ktons of battery)",138.311563953221
"Heavy trucks","Canada",2050,"Refining (ktons of black mass)",41.4934691859663
"Heavy trucks","Mexico",2025,"Pre-processing (ktons of battery)",0.022725857991843
"Heavy trucks","Mexico",2025,"Refining (ktons of black mass)",0.00681775739755291
"Heavy trucks","Mexico",2026,"Pre-processing (ktons of battery)",0.0486361369841766
"Heavy trucks","Mexico",2026,"Refining (ktons of black mass)",0.014590841095253
"Heavy trucks","Mexico",2027,"Pre-processing (ktons of battery)",0.0851097220273677
