"Scenario","scen_name","Year","Stage","ktons","capacity","net"
"Momentum_Short_reuse0","Short life",2040,"Refining (ktons of black mass)",2398.01725675504,384.659890081212,-2013.35736667383
"Momentum_Short_reuse0","Short life",2041,"Pre-processing (ktons of battery)",9467.40376761531,918.387361849208,-8549.01640576611
"Momentum_Short_reuse0","Short life",2041,"Refining (ktons of black mass)",2715.97278861385,384.659890081212,-2331.31289853264
"Momentum_Short_reuse0","Short life",2042,"Pre-processing (ktons of battery)",10460.6054429931,918.387361849208,-9542.21808114389
"Momentum_Short_reuse0","Short life",2042,"Refining (ktons of black mass)",2999.56678874206,384.659890081212,-2614.90689866085
"Momentum_Short_reuse0","Short life",2043,"Pre-processing (ktons of battery)",11510.3792823054,918.387361849208,-10591.9919204562
"Momentum_Short_reuse0","Short life",2043,"Refining (ktons of black mass)",3300.81401122926,384.659890081212,-2916.15412114804
"Momentum_Short_reuse0","Short life",2044,"Pre-processing (ktons of battery)",12485.108080341,918.387361849208,-11566.7207184918
"Momentum_Short_reuse0","Short life",2044,"Refining (ktons of black mass)",3580.40978434416,384.659890081212,-3195.74989426295
"Momentum_Short_reuse0","Short life",2045,"Pre-processing (ktons of battery)",13352.0863007251,918.387361849208,-12433.6989388759
"Momentum_Short_reuse0","Short life",2045,"Refining (ktons of black mass)",3828.60430377082,384.659890081212,-3443.94441368961
"Momentum_Short_reuse0","Short life",2046,"Pre-processing (ktons of battery)",14163.6006669463,918.387361849208,-13245.2133050971
"Momentum_Short_reuse0","Short life",2046,"Refining (ktons of black mass)",4061.22664243629,384.659890081212,-3676.56675235508
"Momentum_Short_reuse0","Short life",2047,"Pre-processing (ktons of battery)",14940.7969664122,918.387361849208,-14022.409604563
"Momentum_Short_reuse0","Short life",2047,"Refining (ktons of black mass)",4284.70990800601,384.659890081212,-3900.05001792479
"Momentum_Short_reuse0","Short life",2048,"Pre-processing (ktons of battery)",15687.901730922,918.387361849208,-14769.5143690728
"Momentum_Short_reuse0","Short life",2048,"Refining (ktons of black mass)",4500.30793424289,384.659890081212,-4115.64804416167
"Momentum_Short_reuse0","Short life",2049,"Pre-processing (ktons of battery)",16369.4993138609,918.387361849208,-15451.1119520117
"Momentum_Short_reuse0","Short life",2049,"Refining (ktons of black mass)",4697.31657053324,384.659890081212,-4312.65668045203
"Momentum_Short_reuse0","Short life",2050,"Pre-processing (ktons of battery)",16851.7054303649,918.387361849208,-15933.3180685157
"Momentum_Short_reuse0","Short life",2050,"Refining (ktons of black mass)",4835.46212660341,384.659890081212,-4450.8022365222
"Momentum__reuse0","Reference",2025,"Pre-processing (ktons of battery)",112.496963006917,322.423361849208,209.926398842291
"Momentum__reuse0","Reference",2025,"Refining (ktons of black mass)",32.5613239700315,0,-32.5613239700315
"Momentum__reuse0","Reference",2026,"Pre-processing (ktons of battery)",172.254729847588,495.528361849208,323.273632001619
"Momentum__reuse0","Reference",2026,"Refining (ktons of black mass)",50.3815898000756,6.59364669564592,-43.7879431044297
"Momentum__reuse0","Reference",2027,"Pre-processing (ktons of battery)",350.722880929047,534.528361849207,183.80548092016
"Momentum__reuse0","Reference",2027,"Refining (ktons of black mass)",104.049151405385,96.7806103840414,-7.26854102134394
"Momentum__reuse0","Reference",2028,"Pre-processing (ktons of battery)",543.731383067283,786.528361849207,242.796978781925
"Momentum__reuse0","Reference",2028,"Refining (ktons of black mass)",164.37526705454,151.582672598708,-12.7925944558322
"Momentum__reuse0","Reference",2029,"Pre-processing (ktons of battery)",763.967879338003,837.528361849207,73.5604825112042
"Momentum__reuse0","Reference",2029,"Refining (ktons of black mass)",231.035665216044,162.295283655217,-68.7403815608265
"Momentum__reuse0","Reference",2030,"Pre-processing (ktons of battery)",883.830851989738,918.387361849208,34.5565098594697
"Momentum__reuse0","Reference",2030,"Refining (ktons of black mass)",266.65110233482,373.123232020356,106.472129685536
"Momentum__reuse0","Reference",2031,"Pre-processing (ktons of battery)",1046.56535048939,918.387361849208,-128.177988640182
"Momentum__reuse0","Reference",2031,"Refining (ktons of black mass)",314.005192076481,373.123232020356,59.1180399438749
"Momentum__reuse0","Reference",2032,"Pre-processing (ktons of battery)",1232.97308616866,918.387361849208,-314.58572431945
"Momentum__reuse0","Reference",2032,"Refining (ktons of black mass)",368.212261646628,384.659890081212,16.447628434584
"Momentum__reuse0","Reference",2033,"Pre-processing (ktons of battery)",1459.93510200173,918.387361849208,-541.547740152527
"Momentum__reuse0","Reference",2033,"Refining (ktons of black mass)",434.014595448348,384.659890081212,-49.3547053671359
"Momentum__reuse0","Reference",2034,"Pre-processing (ktons of battery)",1735.02592592714,918.387361849208,-816.63856407793
"Momentum__reuse0","Reference",2034,"Refining (ktons of black mass)",513.562491475033,384.659890081212,-128.90260139382
"Momentum__reuse0","Reference",2035,"Pre-processing (ktons of battery)",2064.57362931554,918.387361849208,-1146.18626746633
"Momentum__reuse0","Reference",2035,"Refining (ktons of black mass)",608.582636594478,384.659890081212,-223.922746513266
"Momentum__reuse0","Reference",2036,"Pre-processing (ktons of battery)",2453.74322433921,918.387361849208,-1535.35586249
"Momentum__reuse0","Reference",2036,"Refining (ktons of black mass)",720.646050596336,384.659890081212,-335.986160515123
"Momentum__reuse0","Reference",2037,"Pre-processing (ktons of battery)",2907.14024692243,918.387361849208,-1988.75288507322
"Momentum__reuse0","Reference",2037,"Refining (ktons of black mass)",850.661381966515,384.659890081212,-466.001491885303
